,price_expectations,expected_returns,returns_variance,risk_aversion,optimal_shares
0,"{'AXP': 138.74000549316406, 'AMGN': 226.3500061035156, 'AAPL': 123.63999938964844, 'BA': 220.1499938964844, 'CAT': 220.07000732421875}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}","{'AXP': 1, 'AMGN': 1, 'AAPL': 1, 'BA': 1, 'CAT': 1}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
1,"{'AXP': 138.74000549316406, 'AMGN': 226.3500061035156, 'AAPL': 123.63999938964844, 'BA': 220.1499938964844, 'CAT': 220.07000732421875}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}","{'AXP': 1, 'AMGN': 1, 'AAPL': 1, 'BA': 1, 'CAT': 1}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
2,"{'AXP': 138.5250765862083, 'AMGN': 226.49255262655439, 'AAPL': 123.65484331265623, 'BA': 220.23048053639482, 'CAT': 220.00626215423935}","{'AXP': -0.2149289069557767, 'AMGN': 0.14254652303878856, 'AAPL': 0.014843923007788362, 'BA': 0.08048663991041849, 'CAT': -0.0637451699793985}","{'AXP': 1.5743229917825957e-05, 'AMGN': 1.433164562113568e-06, 'AAPL': 5.803187895557459e-07, 'BA': 5.888356029988667e-08, 'CAT': 7.362055633898045e-06}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 177.14023623356613, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 112.34775952832909}"
3,"{'AXP': -2.9797727745702026e+46, 'AMGN': -2.5008299774425914e+46, 'AAPL': -7.449228960148842e+45, 'BA': -5.853023604755113e+45, 'CAT': -4.0439367416601017e+46}","{'AXP': -2.9797727745702026e+46, 'AMGN': -2.5008299774425914e+46, 'AAPL': -7.449228960148842e+45, 'BA': -5.853023604755113e+45, 'CAT': -4.0439367416601017e+46}","{'AXP': 4.624106369893838e+88, 'AMGN': 1.2170364876419146e+88, 'AAPL': 3.626463144836782e+87, 'BA': 7.058810854568524e+86, 'CAT': 3.3732847342961765e+88}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 8.361256749779354e-45, 'AMGN': 2.6662249933615407e-44, 'AAPL': 2.6652888492503125e-44, 'BA': 1.0758827843704324e-43, 'CAT': 1.5554912769973838e-44}"
4,"{'AXP': 1.5159213052443005e+58, 'AMGN': 1.2722652800751442e+58, 'AAPL': 3.7897000015248744e+57, 'BA': 2.9776509330735325e+57, 'CAT': 2.057301119085159e+58}","{'AXP': 1.5159213052443005e+58, 'AMGN': 1.2722652800751442e+58, 'AAPL': 3.7897000015248744e+57, 'BA': 2.9776509330735325e+57, 'CAT': 2.057301119085159e+58}","{'AXP': 1.1967814073922492e+112, 'AMGN': 3.149855396949378e+111, 'AAPL': 9.38577817887335e+110, 'BA': 1.826915929972466e+110, 'CAT': 8.730518134552456e+111}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
5,"{'AXP': -7.712055842999797e+69, 'AMGN': -6.472486964267618e+69, 'AAPL': -1.9279614277382443e+69, 'BA': -1.5148418455087788e+69, 'CAT': -1.0466256435187317e+70}","{'AXP': -7.712055842999797e+69, 'AMGN': -6.472486964267618e+69, 'AAPL': -1.9279614277382443e+69, 'BA': -1.5148418455087788e+69, 'CAT': -1.0466256435187317e+70}","{'AXP': 3.097432503726458e+135, 'AMGN': 8.152252724086228e+134, 'AAPL': 2.42916661509268e+134, 'BA': 4.728306061674712e+133, 'CAT': 2.2595764336997998e+135}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 3.2306100644744143e-68, 'AMGN': 1.0301720848285543e-67, 'AAPL': 1.0298103788460649e-67, 'BA': 4.1569800514421443e-67, 'CAT': 6.010084279259238e-68}"
6,"{'AXP': 3.92340981816087e+81, 'AMGN': 3.2927949979221236e+81, 'AAPL': 9.808257290421018e+80, 'BA': 7.706564229594922e+80, 'CAT': 5.32457415936328e+81}","{'AXP': 3.92340981816087e+81, 'AMGN': 3.2927949979221236e+81, 'AAPL': 9.808257290421018e+80, 'BA': 7.706564229594922e+80, 'CAT': 5.32457415936328e+81}","{'AXP': 8.016575170603949e+158, 'AMGN': 2.1099135071958154e+158, 'AAPL': 6.287012468676473e+157, 'BA': 1.2237497000317234e+157, 'CAT': 5.848090091611997e+158}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
7,"{'AXP': -1.995984587587421e+93, 'AMGN': -1.675167359656138e+93, 'AAPL': -4.989825506413512e+92, 'BA': -3.9206160300466685e+92, 'CAT': -2.708809033499642e+93}","{'AXP': -1.995984587587421e+93, 'AMGN': -1.675167359656138e+93, 'AAPL': -4.989825506413512e+92, 'BA': -3.9206160300466685e+92, 'CAT': -2.708809033499642e+93}","{'AXP': 2.0747983172717156e+182, 'AMGN': 5.4607421513006784e+181, 'AAPL': 1.6271640461263847e+181, 'BA': 3.167230100577106e+180, 'CAT': 1.5135649854345278e+182}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 1.2482383571056826e-91, 'AMGN': 3.9803637240006335e-91, 'AAPL': 3.978966169754446e-91, 'BA': 1.6061678278642446e-90, 'CAT': 2.3221675092595053e-91}"
8,"{'AXP': 1.0154316419980917e+105, 'AMGN': 8.522199786588975e+104, 'AAPL': 2.5385099357835172e+104, 'BA': 1.9945632836004866e+104, 'CAT': 1.3780719660117785e+105}","{'AXP': 1.0154316419980917e+105, 'AMGN': 8.522199786588975e+104, 'AAPL': 2.5385099357835172e+104, 'BA': 1.9945632836004866e+104, 'CAT': 1.3780719660117785e+105}","{'AXP': 5.369859279981316e+205, 'AMGN': 1.4133140880558608e+205, 'AAPL': 4.21132111030117e+204, 'BA': 8.197220812182115e+203, 'CAT': 3.9173113430986046e+205}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
9,"{'AXP': -5.16587866451038e+116, 'AMGN': -4.3355601924720836e+116, 'AAPL': -1.2914344771754048e+116, 'BA': -1.0147085717648813e+116, 'CAT': -7.010764952500365e+116}","{'AXP': -5.16587866451038e+116, 'AMGN': -4.3355601924720836e+116, 'AAPL': -1.2914344771754048e+116, 'BA': -1.0147085717648813e+116, 'CAT': -7.010764952500365e+116}","{'AXP': 1.3897923690587407e+229, 'AMGN': 3.657848431868187e+228, 'AAPL': 1.0899469869856464e+228, 'BA': 2.1215518579287306e+227, 'CAT': 1.0138532739883324e+229}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 4.8229249740896225e-115, 'AMGN': 1.5379270714733935e-114, 'AAPL': 1.5373870865227459e-114, 'BA': 6.205887589889125e-114, 'CAT': 8.972356610155779e-115}"
10,"{'AXP': 2.628074729277907e+128, 'AMGN': 2.205660821532105e+128, 'AAPL': 6.570007803899102e+127, 'BA': 5.162200137137198e+127, 'CAT': 3.566637043016908e+128}","{'AXP': 2.628074729277907e+128, 'AMGN': 2.205660821532105e+128, 'AAPL': 6.570007803899102e+127, 'BA': 5.162200137137198e+127, 'CAT': 3.566637043016908e+128}","{'AXP': 3.596971034780317e+252, 'AMGN': 9.467007555925329e+251, 'AAPL': 2.820930542515983e+251, 'BA': 5.490863780553298e+250, 'CAT': 2.6239896989239316e+252}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
11,"{'AXP': -1.3369994208572383e+140, 'AMGN': -1.1221017454881075e+140, 'AAPL': -3.342407478365033e+139, 'BA': -2.626203325503592e+139, 'CAT': -1.8144809992643563e+140}","{'AXP': -1.3369994208572383e+140, 'AMGN': -1.1221017454881075e+140, 'AAPL': -3.342407478365033e+139, 'BA': -2.626203325503592e+139, 'CAT': -1.8144809992643563e+140}","{'AXP': 9.309448600448987e+275, 'AMGN': 2.4501898789221605e+275, 'AAPL': 7.300950615687433e+274, 'BA': 1.4211099739992723e+274, 'CAT': 6.791241017522366e+275}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 1.8634746459508142e-138, 'AMGN': 5.942219960726265e-138, 'AAPL': 5.940133574829463e-138, 'BA': 2.3978217039468095e-137, 'CAT': 3.466725928203044e-138}"
12,"{'AXP': 6.801813629796383e+151, 'AMGN': 5.708549179165489e+151, 'AAPL': 1.700407074828806e+151, 'BA': 1.3360473681113348e+151, 'CAT': 9.230940118051617e+151}","{'AXP': 6.801813629796383e+151, 'AMGN': 5.708549179165489e+151, 'AAPL': 1.700407074828806e+151, 'BA': 1.3360473681113348e+151, 'CAT': 9.230940118051617e+151}","{'AXP': 2.4094114855638435e+299, 'AMGN': 6.341423525129745e+298, 'AAPL': 1.889584982307473e+298, 'BA': 3.678025241406937e+297, 'CAT': 1.7576652292877477e+299}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
13,"{'AXP': -3.460335728853235e+163, 'AMGN': -2.9041514160354146e+163, 'AAPL': -8.650603610850589e+162, 'BA': -6.79697018316331e+162, 'CAT': -4.696122775471418e+163}","{'AXP': -3.460335728853235e+163, 'AMGN': -2.9041514160354146e+163, 'AAPL': -8.650603610850589e+162, 'BA': -6.79697018316331e+162, 'CAT': -4.696122775471418e+163}","{'AXP': inf, 'AMGN': inf, 'AAPL': inf, 'BA': inf, 'CAT': inf}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
14,"{'AXP': 1.76040156465397e+175, 'AMGN': 1.4774499058434059e+175, 'AAPL': 4.4008839965333185e+174, 'BA': 3.4578716872979363e+174, 'CAT': 2.3890924261521746e+175}","{'AXP': 1.76040156465397e+175, 'AMGN': 1.4774499058434059e+175, 'AAPL': 4.4008839965333185e+174, 'BA': 3.4578716872979363e+174, 'CAT': 2.3890924261521746e+175}","{'AXP': inf, 'AMGN': inf, 'AAPL': inf, 'BA': inf, 'CAT': inf}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
15,"{'AXP': -8.955817908059362e+186, 'AMGN': -7.516337516783493e+186, 'AAPL': -2.238893471739909e+186, 'BA': -1.7591480150133524e+186, 'CAT': -1.2154202293241175e+187}","{'AXP': -8.955817908059362e+186, 'AMGN': -7.516337516783493e+186, 'AAPL': -2.238893471739909e+186, 'BA': -1.7591480150133524e+186, 'CAT': -1.2154202293241175e+187}","{'AXP': inf, 'AMGN': inf, 'AAPL': inf, 'BA': inf, 'CAT': inf}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
16,"{'AXP': 4.556157868337413e+198, 'AMGN': 3.8238406217878864e+198, 'AAPL': 1.1390084314306317e+198, 'BA': 8.949440634518202e+197, 'CAT': 6.183295035719964e+198}","{'AXP': 4.556157868337413e+198, 'AMGN': 3.8238406217878864e+198, 'AAPL': 1.1390084314306317e+198, 'BA': 8.949440634518202e+197, 'CAT': 6.183295035719964e+198}","{'AXP': inf, 'AMGN': inf, 'AAPL': inf, 'BA': inf, 'CAT': inf}","{'AXP': -77.06971846099421, 'AMGN': -77.06971846099421, 'AAPL': -77.06971846099421, 'BA': -77.06971846099421, 'CAT': -77.06971846099421}","{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
