,type,cash,holdings
0,0,626008.031942839,"{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
1,0,626008.031942839,"{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
2,<bound method Agent.eval_type of <core.agent.Agent object at 0x0000013F3B8E2EB0>>,26.625067228800617,"{'AXP': 0, 'AMGN': 2765, 'AAPL': 1, 'BA': 0, 'CAT': 0}"
3,<bound method Agent.eval_type of <core.agent.Agent object at 0x0000013F3B8E2EB0>>,626948.1818146653,"{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
4,<bound method Agent.eval_type of <core.agent.Agent object at 0x0000013F3B8E2EB0>>,626948.1818146653,"{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
5,<bound method Agent.eval_type of <core.agent.Agent object at 0x0000013F3B8E2EB0>>,626948.1818146653,"{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
6,<bound method Agent.eval_type of <core.agent.Agent object at 0x0000013F3B8E2EB0>>,626948.1818146653,"{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
7,<bound method Agent.eval_type of <core.agent.Agent object at 0x0000013F3B8E2EB0>>,626948.1818146653,"{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
8,<bound method Agent.eval_type of <core.agent.Agent object at 0x0000013F3B8E2EB0>>,626948.1818146653,"{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
9,<bound method Agent.eval_type of <core.agent.Agent object at 0x0000013F3B8E2EB0>>,626948.1818146653,"{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
10,<bound method Agent.eval_type of <core.agent.Agent object at 0x0000013F3B8E2EB0>>,626948.1818146653,"{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
11,<bound method Agent.eval_type of <core.agent.Agent object at 0x0000013F3B8E2EB0>>,626948.1818146653,"{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
12,<bound method Agent.eval_type of <core.agent.Agent object at 0x0000013F3B8E2EB0>>,626948.1818146653,"{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
13,<bound method Agent.eval_type of <core.agent.Agent object at 0x0000013F3B8E2EB0>>,626948.1818146653,"{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
14,<bound method Agent.eval_type of <core.agent.Agent object at 0x0000013F3B8E2EB0>>,626948.1818146653,"{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
15,<bound method Agent.eval_type of <core.agent.Agent object at 0x0000013F3B8E2EB0>>,626948.1818146653,"{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
16,<bound method Agent.eval_type of <core.agent.Agent object at 0x0000013F3B8E2EB0>>,626948.1818146653,"{'AXP': 0, 'AMGN': 0, 'AAPL': 0, 'BA': 0, 'CAT': 0}"
